kepid fits i j k l period prad srad kepmag activity transitid syntheticid plphase synpixmin synpixmax synxmin synxmax
3232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2012088054726_llc.fits 0 0 0 0 37.22361612 0.64529111 0.602 13.904 0.000263363 13_0 13 0.1711 312 318 1152.044584 1152.167187
12257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2013131215648_llc.fits 0 0 0 1 49.68909557 0.66073281 0.393 15.156 0.000483863 14_0 14 0.0709 172 177 1563.721765 1563.823935
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2013011073258_llc.fits 0 0 0 2 40.15724213 0.956137879 0.27 15.297 0.000586369 15_0 15 0.1788 351 355 1408.939764 1409.021495
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_0 16 0.4232 49 52 367.742653662 367.80395309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_1 16 0.4232 49 52 370.117653662 370.17895309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_2 16 0.4232 49 52 372.492653662 372.55395309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_3 16 0.4232 49 52 374.867653662 374.92895309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_4 16 0.4232 49 52 377.242653662 377.30395309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_5 16 0.4232 49 52 379.617653662 379.67895309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_6 16 0.4232 49 52 381.992653662 382.05395309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_7 16 0.4232 49 52 384.367653662 384.42895309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_8 16 0.4232 49 52 386.742653662 386.80395309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_9 16 0.4232 49 52 389.117653662 389.17895309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_10 16 0.4232 49 52 391.492653662 391.55395309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_11 16 0.4232 49 52 393.867653662 393.92895309
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.374599077 0.806557348 0.435 14.393 0.000699699 16_12 16 0.4232 49 52 396.242653662 396.30395309
8474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2013098041711_llc.fits 0 0 0 4 31.35466625 0.50575784 0.494 14.982 0.000839662 17_0 17 0.0101 15 20 1488.97474 1489.076908
10936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2013098041711_llc.fits 0 0 0 5 3.912791077 0.718287683 0.51 15.046 0.000974422 18_0 18 0.8746 167 171 1524.54960109 1524.63133532
10936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2013098041711_llc.fits 0 0 0 5 3.912791077 0.718287683 0.51 15.046 0.000974422 18_1 18 0.8746 167 171 1528.46260109 1528.54433532
10936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2013098041711_llc.fits 0 0 0 5 3.912791077 0.718287683 0.51 15.046 0.000974422 18_2 18 0.8746 167 171 1532.37560109 1532.45733532
10936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2013098041711_llc.fits 0 0 0 5 3.912791077 0.718287683 0.51 15.046 0.000974422 18_3 18 0.8746 167 171 1536.28860109 1536.37033532
10936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2013098041711_llc.fits 0 0 0 5 3.912791077 0.718287683 0.51 15.046 0.000974422 18_4 18 0.8746 167 171 1540.20160109 1540.28333532
10936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2013098041711_llc.fits 0 0 0 5 3.912791077 0.718287683 0.51 15.046 0.000974422 18_5 18 0.8746 167 171 1544.11460109 1544.19633532
10936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2013098041711_llc.fits 0 0 0 5 3.912791077 0.718287683 0.51 15.046 0.000974422 18_6 18 0.8746 167 171 1548.02760109 1548.10933532
9225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2009166043257_llc.fits 0 0 0 6 9.957977045 0.811793198 0.605 13.919 0.001198601 19_0 19 0.5253 256 261 138.602779952 138.70495188
